Read new prefs: /homes/zl3114/.config/blender/2.78/config/userpref.blend
found bundled python: /homes/zl3114/blender/2.78/python
read blend: /homes/zl3114/bdep/sample1/job.blend
Fra:1 Mem:20.88M (0.00M, Peak 20.88M) | Time:00:00.31 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Sphere.003
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:30.28 | Remaining:00:08.00 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 108/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:30.62 | Remaining:00:07.70 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 109/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:30.91 | Remaining:00:07.38 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 110/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:31.31 | Remaining:00:07.09 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 111/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:31.59 | Remaining:00:06.77 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 112/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:31.92 | Remaining:00:06.47 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 113/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:32.00 | Remaining:00:06.39 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 114/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:32.21 | Remaining:00:06.16 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 115/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:32.51 | Remaining:00:05.84 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 116/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:32.77 | Remaining:00:05.53 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 117/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:33.06 | Remaining:00:05.22 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 118/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:33.31 | Remaining:00:04.91 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 119/135
Fra:1 Mem:32.97M (0.00M, Peak 33.13M) | Time:00:33.67 | Remaining:00:04.61 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 120/135
Fra:1 Mem:32.89M (0.00M, Peak 33.13M) | Time:00:33.95 | Remaining:00:04.30 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 121/135
Fra:1 Mem:32.89M (0.00M, Peak 33.13M) | Time:00:34.19 | Remaining:00:03.99 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 122/135
Fra:1 Mem:32.89M (0.00M, Peak 33.13M) | Time:00:34.44 | Remaining:00:03.68 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 123/135
Fra:1 Mem:32.89M (0.00M, Peak 33.13M) | Time:00:34.70 | Remaining:00:03.37 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 124/135
Fra:1 Mem:32.89M (0.00M, Peak 33.13M) | Time:00:34.95 | Remaining:00:03.07 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 125/135
Fra:1 Mem:32.81M (0.00M, Peak 33.13M) | Time:00:35.08 | Remaining:00:02.88 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 126/135
Fra:1 Mem:32.81M (0.00M, Peak 33.13M) | Time:00:35.16 | Remaining:00:02.75 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 127/135
Fra:1 Mem:32.81M (0.00M, Peak 33.13M) | Time:00:35.45 | Remaining:00:02.42 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 128/135
Fra:1 Mem:32.81M (0.00M, Peak 33.13M) | Time:00:35.73 | Remaining:00:02.07 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 129/135
Fra:1 Mem:32.81M (0.00M, Peak 33.13M) | Time:00:36.03 | Remaining:00:01.73 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 130/135
Fra:1 Mem:32.81M (0.00M, Peak 33.13M) | Time:00:36.27 | Remaining:00:01.40 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 131/135
Fra:1 Mem:32.81M (0.00M, Peak 33.13M) | Time:00:36.39 | Remaining:00:01.23 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 132/135
Fra:1 Mem:32.81M (0.00M, Peak 33.13M) | Time:00:36.53 | Remaining:00:01.07 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 133/135
Fra:1 Mem:32.81M (0.00M, Peak 33.13M) | Time:00:36.78 | Remaining:00:00.74 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 134/135
Fra:1 Mem:32.81M (0.00M, Peak 33.13M) | Time:00:37.04 | Remaining:00:00.41 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Path Tracing Tile 135/135
Fra:1 Mem:32.69M (0.00M, Peak 33.13M) | Time:00:37.73 | Mem:8.24M, Peak:8.24M | Scene, RenderLayer | Finished
Fra:1 Mem:21.10M (0.00M, Peak 33.13M) | Time:00:37.83 | Sce: Scene Ve:0 Fa:0 La:0
Saved: '/homes/zl3114/bdep/sample1/out/render001.png'
 Time: 00:38.12 (Saving: 00:00.29)


Blender quit
